"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"372","RF.pc.uni.14","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"373","RF.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,""
"374","RF.pc.uni.14","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"375","RF.pc.uni.14","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"376","RF.pc.uni.14","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"377","RF.pc.uni.14","4","0","0","0","1","1",NA,NA,NA,""
"378","RF.pc.uni.14","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"379","RF.pc.uni.14","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"380","RF.pc.uni.14","3","0","0","0","1","1",NA,NA,NA,""
"381","RF.pc.uni.16","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"382","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"383","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"384","RF.pc.uni.16","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"385","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"386","RF.pc.uni.16","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"387","RF.pc.uni.16","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"388","RF.pc.uni.16","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"389","RF.pc.uni.16","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"390","RF.pc.uni.16","3","0","0","0","1","1",NA,NA,NA,""
"391","RF.pc.uni.16","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"392","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"393","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"394","RF.pc.uni.16","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"395","RF.pc.uni.16","4","0","0","0","1","1",NA,NA,NA,""
"396","RF.pc.uni.16","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"397","RF.pc.uni.16","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"398","RF.pc.uni.16","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"399","RF.pc.uni.16","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"400","RF.pc.uni.16","3","0","0","0","1","1",NA,NA,NA,""
"401","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"402","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"403","RF.pc.uni.18","4","0","0","0","1","1",NA,NA,NA,""
"404","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"405","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"406","RF.pc.uni.18","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"407","RF.pc.uni.18","4","0","0","0","1","1",NA,NA,NA,""
"408","RF.pc.uni.18","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"409","RF.pc.uni.18","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"410","RF.pc.uni.18","3","0","0","0","1","1",NA,NA,NA,""
