# Constructed from biom file
#OTU ID	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	0.01125	0.005	0.0075	0.01125	0.0	0.0	0.00875	0.005	0.0	0.00625	0.0125	0.0	0.00125	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.01625	0.01875	0.0125	0.025	0.0	0.0	0.00625	0.01875	0.00625	0.00125	0.0	0.03625	0.00125	0.0	0.0125	0.01625	0.01	0.0025	0.0	0.0	0.005	0.00125	0.00125	0.01125	0.02	0.01625	0.0	0.00125	0.02125	0.0225	0.01375	0.0575	0.0	0.01	0.0125	0.00125	0.005	0.0	0.00625	0.00375	0.0075	0.015	0.01125	0.0	0.0	0.01125	0.0075	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0075	0.0	0.0	0.0	0.005	0.01125	0.00125	0.01125	0.0	0.0	0.00125	0.0125	0.02	0.0025	0.0	0.0225	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.01375	0.03625	0.02875	0.03875	0.0075	0.00875	0.01875	0.0275	0.06	0.04875	0.0	0.0125	0.0	0.0	0.0	0.01125	0.0125	0.02375	0.0075	0.01125	0.0	0.0	0.0	0.0	0.01375	0.01625	0.02	0.01375	0.00125	0.01375	0.02875	0.0	0.0	0.005	0.00375	0.01375	0.00875	0.00125	0.025	0.00875	0.01	0.02625	0.0	0.00625	0.00125	0.0075	0.0	0.0025	0.00375	0.00125	0.0225	0.0	0.00125	0.00125	0.0	0.00125	0.00875	0.0	0.005	0.02	0.04875	0.01375	0.0	0.0	0.04375	0.00125	0.00125	0.01875	0.00125	0.02125	0.02	0.0	0.01125	0.0	0.0525	0.005	0.0025	0.0	0.00125	0.005	0.00375	0.00125	0.00125	0.0125	0.00125	0.005	0.00125	0.00375	0.00125	0.00375	0.0025	0.0025	0.00125
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.00375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0025	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02875	0.00375	0.0	0.00125	0.00125	0.0	0.0125	0.0	0.0025	0.0075	0.0	0.00125	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00375	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.03625	0.0	0.00125	0.01	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0225	0.00375	0.00125	0.00625	0.0	0.0025	0.00125	0.01125	0.00125	0.005	0.0	0.03125	0.01375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.00875	0.00125	0.0	0.00125	0.00125	0.0	0.0	0.01125	0.0	0.0	0.0025	0.00375	0.02875	0.00125	0.0	0.0025	0.0025	0.00375	0.0	0.0	0.00375	0.00875	0.0	0.03625	0.00125	0.00125	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0025	0.0025	0.0	0.00125	0.0	0.0	0.0025	0.00375	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00375	0.00375	0.0	0.00125	0.0	0.0	0.00375	0.00125	0.0	0.0025	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.00625	0.0	0.0	0.0	0.0	0.0	0.00375
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.0	0.0025	0.0	0.0025	0.0	0.00125	0.0	0.0	0.0025	0.0025	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00375	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.00625	0.0	0.0	0.0025	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.195	0.11375	0.08	0.11375	0.1875	0.20875	0.13375	0.1525	0.2	0.09375	0.14375	0.1875	0.28125	0.11875	0.1425	0.16875	0.15625	0.11	0.14875	0.115	0.21	0.21	0.18625	0.00875	0.135	0.185	0.14	0.2675	0.01875	0.14375	0.2175	0.01125	0.17375	0.015	0.00625	0.265	0.21625	0.0175	0.05375	0.20625	0.215	0.1725	0.005	0.0175	0.0125	0.15125	0.00625	0.03375	0.01875	0.0175	0.03625	0.02875	0.00625	0.03625	0.01375	0.12125	0.17	0.055	0.19125	0.2175	0.07375	0.2025	0.03875	0.03	0.0775	0.02125	0.0025	0.08	0.02125	0.12375	0.12375	0.135	0.00125	0.045	0.1425	0.005	0.005	0.02375	0.00875	0.005	0.015	0.005	0.0125	0.00375	0.00375	0.01625	0.01	0.0075	0.03	0.005	0.00375	0.005	0.05375
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.00125	0.0	0.0	0.00125	0.00125	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.00125	0.0	0.0025	0.00125	0.0	0.00125	0.00125	0.0	0.0	0.00125	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0025	0.00125	0.00125	0.00375	0.00125	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00375	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	0.0	0.00375	0.0	0.005	0.005	0.00375	0.0	0.0	0.0025	0.0	0.00375	0.00375	0.00375	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.00375	0.005	0.00125	0.0	0.00375	0.00125	0.00125	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.00125	0.0	0.00125	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.15375	0.06	0.0525	0.06	0.10875	0.25	0.05875	0.06125	0.12625	0.02875	0.09125	0.0575	0.09375	0.03125	0.0375	0.10375	0.0925	0.07125	0.08625	0.1175	0.11125	0.1525	0.1425	0.035	0.08375	0.055	0.145	0.1175	0.04375	0.07625	0.09875	0.00875	0.08	0.005	0.00375	0.08625	0.095	0.0125	0.03875	0.16375	0.0775	0.03875	0.02625	0.02	0.00875	0.13625	0.0075	0.04125	0.00375	0.04125	0.02	0.0425	0.01375	0.0975	0.01	0.0675	0.085	0.05625	0.155	0.15375	0.07125	0.06375	0.07125	0.08	0.04875	0.01125	0.00125	0.07125	0.0425	0.045	0.08	0.13	0.0	0.01625	0.06625	0.00375	0.0025	0.03625	0.00625	0.0025	0.05125	0.00375	0.0075	0.0	0.00125	0.0025	0.00625	0.01375	0.06375	0.0	0.00875	0.00625	0.085
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.14	0.05	0.0825	0.0575	0.085	0.14125	0.07875	0.1125	0.09125	0.09	0.09125	0.10125	0.165	0.145	0.02625	0.0775	0.11	0.06625	0.1375	0.07	0.125	0.08125	0.08375	0.0075	0.07875	0.11875	0.0725	0.11125	0.00125	0.0825	0.08125	0.00125	0.22375	0.00875	0.00625	0.06625	0.04875	0.0075	0.05125	0.09875	0.085	0.0725	0.005	0.0175	0.005	0.0425	0.01	0.01625	0.015	0.00375	0.0175	0.02625	0.00875	0.01375	0.01	0.175	0.06875	0.1075	0.1225	0.08875	0.05	0.06375	0.00625	0.02	0.04	0.01125	0.005	0.0625	0.01125	0.08	0.0525	0.01375	0.00125	0.01625	0.0875	0.0075	0.00375	0.00625	0.0075	0.00375	0.005	0.00375	0.0025	0.00125	0.00625	0.00125	0.005	0.00625	0.01875	0.00625	0.00125	0.00875	0.0275
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.00375	0.0025	0.0	0.00125	0.0	0.00125	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.00125	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.00125	0.0025	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
